feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_distance_deviation,3.07573,64,2519.73,-818.23,24,5084.48,-900.74,0.5417,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_no_side_flag,3.040626,47,1812.0,-594.93,13,5356.23,-305.8,0.6923,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
vwap_no_side_flag,3.009741,26,1983.66,-658.08,7,913.31,-477.93,0.5714,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_slope_deviation,3.004768,26,1550.34,-514.96,9,5500.2,-211.71,0.8889,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_distance_deviation,3.00321,28,1075.84,-357.23,10,2449.47,-465.27,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_full,3.000907,26,893.01,-296.58,11,2747.03,-545.24,0.6364,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,2.990848,44,1532.72,-511.47,17,3778.9,-1037.33,0.4706,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,2.970202,52,1932.74,-649.71,17,6172.28,-609.5,0.6471,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_slope_deviation,2.9528,36,1201.76,-405.99,13,4444.55,-437.6,0.5385,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_slope_deviation,2.895483,39,1611.51,-555.56,15,5914.72,-374.68,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.882324,77,2761.67,-957.14,23,4452.31,-1383.49,0.4783,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_no_side_flag,2.881681,31,1631.55,-565.18,15,6072.09,-634.85,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_full,2.865478,66,2458.58,-857.0,20,5627.26,-717.42,0.6,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,2.853136,22,1412.93,-494.22,6,3043.12,-96.95,0.8333,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_full,2.833256,28,1713.27,-603.7,9,4541.01,-123.26,0.7778,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
